TID,EN,ydZH
TID_UPGRADE_DISPLAYNAME_STRING_THEORY,String theory,弦理论
TID_UPGRADE_DESC_STRING_THEORY,"Antimatter condensers are twice as efficient.Reveals new insight about the true meaning of baking cookies (and, as a bonus, the structure of the universe).",反物质冷凝器效率的两倍。揭示了新的认识关于烘焙饼干(和的真正含义
TID_UPGRADE_DISPLAYNAME_LARGE_MACARON_COLLIDER,Large macaron collider,大型未曾对撞机
TID_UPGRADE_DESC_LARGE_MACARON_COLLIDER,Antimatter condensers are twice as efficient.How singular!,反物质冷凝器效率的两倍。多么奇异!
TID_UPGRADE_DISPLAYNAME_BIG_BANG_BAKE,Big bang bake,大爆炸烤
TID_UPGRADE_DESC_BIG_BANG_BAKE,Antimatter condensers are twice as efficient.And that's how it all began.,反物质冷凝器效率的两倍。这就是这一切是如何开始的。
TID_UPGRADE_DISPLAYNAME_ANTIGRANDMAS,Antigrandmas,Antigrandmas
TID_UPGRADE_DESC_ANTIGRANDMAS,Grandmas are twice as efficient.A mean antigrandma to vomit more cookies.(Do not put in contact with normal grandmas; loss of matter may occur.),奶奶是两倍效率。一个意味着antigrandma吐更多的饼干。(不要把接触正常的奶奶，损失可能发生的事。)
TID_UPGRADE_DISPLAYNAME_MADELEINES,Madeleines,玛德琳蛋糕
TID_UPGRADE_DESC_MADELEINES,Cookie production multiplier +20%.Unforgettable!,
TID_UPGRADE_DISPLAYNAME_PALMIERS,Palmiers,棕榈树
TID_UPGRADE_DESC_PALMIERS,"Cookie production multiplier +20%.Palmier than you!Yes, I just said that.",
TID_UPGRADE_DISPLAYNAME_PALETS,Palets,palets
TID_UPGRADE_DESC_PALETS,"Cookie production multiplier +20%.You could probably play hockey with these.I mean, you're welcome to try.",
TID_UPGRADE_DISPLAYNAME_SABL_EACUTE_S,Sabl&eacute;s,Sabl
TID_UPGRADE_DESC_SABL_EACUTE_S,"Cookie production multiplier +20%.The name implies they're made of sand. But you know better, don't you?",
TID_UPGRADE_DISPLAYNAME_KITTEN_OVERSEERS,Kitten overseers,小猫监督者
TID_UPGRADE_DESC_KITTEN_OVERSEERS,"You gain more CpS the more milk you have.my purrpose is to serve you, sir",你获得更多的CpS牛奶越多。我的purrpose为您服务
TID_UPGRADE_DISPLAYNAME_SEXTILLION_FINGERS,Sextillion fingers,千的七乘方的手指
TID_UPGRADE_DESC_SEXTILLION_FINGERS,The mouse and cursors gain +200 cookies for each non-cursor object owned.sometimesthings justclick,鼠标和游标获得每个non-cursor对象拥有200饼干。sometimesthings justclick
TID_UPGRADE_DISPLAYNAME_DOUBLE_THICK_GLASSES,Double-thick glasses,Double-thick眼镜
TID_UPGRADE_DESC_DOUBLE_THICK_GLASSES,Grandmas are twice as efficient.Oh... so THAT's what I've been baking.,奶奶是两倍efficient.Oh……这就是我一直烘烤。
TID_UPGRADE_DISPLAYNAME_GINGERBREAD_SCARECROWS,Gingerbread scarecrows,姜饼稻草人
TID_UPGRADE_DESC_GINGERBREAD_SCARECROWS,Farms are twice as efficient.Staring at your crops with mischievous glee.,农场的两倍效率。盯着你的作物的喜悦。
TID_UPGRADE_DISPLAYNAME_RECOMBOBULATORS,Recombobulators,Recombobulators
TID_UPGRADE_DESC_RECOMBOBULATORS,Factories are twice as efficient.A major part of cookie recombobulation.,工厂两倍效率。一个饼干recombobulation的重要组成部分。
TID_UPGRADE_DISPLAYNAME_H_BOMB_MINING,H-bomb mining,氢弹矿业
TID_UPGRADE_DESC_H_BOMB_MINING,"Mines are twice as efficient.Questionable efficiency, but spectacular nonetheless.",矿山是两倍效率。有问题的效率
TID_UPGRADE_DISPLAYNAME_CHOCOLATE_MONOLITHS,Chocolate monoliths,巧克力巨石
TID_UPGRADE_DESC_CHOCOLATE_MONOLITHS,Shipments are twice as efficient.My god. It's full of chocolate bars.,装运的两倍效率。我的神。它充满了巧克力。
TID_UPGRADE_DISPLAYNAME_AQUA_CRUSTULAE,Aqua crustulae,Aqua crustulae
TID_UPGRADE_DESC_AQUA_CRUSTULAE,Alchemy labs are twice as efficient.Careful with the dosing - one drop too much and you get muffins.And nobody likes muffins.,炼金术实验室两倍效率。小心计量——一滴太多和松饼。没有人喜欢松饼。
TID_UPGRADE_DISPLAYNAME_BRANE_TRANSPLANT,Brane transplant,膜移植
TID_UPGRADE_DESC_BRANE_TRANSPLANT,"Portals are twice as efficient.This refers to the practice of merging higher dimensional universes, or 'branes', with our own, in order to facilitate transit (and harvesting of precious cookie dough).",门户是两倍效率。这指的是合并更高维度的宇宙
TID_UPGRADE_DISPLAYNAME_YESTERMORROW_COMPARATORS,Yestermorrow comparators,Yestermorrow比较器
TID_UPGRADE_DESC_YESTERMORROW_COMPARATORS,Time machines are twice as efficient.Fortnights into milleniums.,时间机器效率的两倍。Fortnights milleniums。
TID_UPGRADE_DISPLAYNAME_REVERSE_CYCLOTRONS,Reverse cyclotrons,逆回旋加速器
TID_UPGRADE_DESC_REVERSE_CYCLOTRONS,"Antimatter condensers are twice as efficient.These can uncollision particles and unspin atoms. For... uh... better flavor, and stuff.",反物质冷凝器效率的两倍。这些可以uncollision粒子和unspin原子。为…嗯…更好的味道
TID_UPGRADE_DISPLAYNAME_UNOBTAINIUM_MOUSE,Unobtainium mouse,Unobtainium鼠标
TID_UPGRADE_DESC_UNOBTAINIUM_MOUSE,Clicking gains +1% of your CpS.These nice mice should suffice.,
TID_UPGRADE_DISPLAYNAME_CARAMOAS,Caramoas,Caramoas
TID_UPGRADE_DESC_CARAMOAS,Cookie production multiplier +25%.Yeah. That's got a nice ring to it.,
TID_UPGRADE_DISPLAYNAME_SAGALONGS,Sagalongs,Sagalongs
TID_UPGRADE_DESC_SAGALONGS,Cookie production multiplier +25%.Grandma's favorite?,
TID_UPGRADE_DISPLAYNAME_SHORTFOILS,Shortfoils,Shortfoils
TID_UPGRADE_DESC_SHORTFOILS,Cookie production multiplier +25%.Foiled again!,
TID_UPGRADE_DISPLAYNAME_WIN_MINTS,Win mints,赢得薄荷糖
TID_UPGRADE_DESC_WIN_MINTS,Cookie production multiplier +25%.They're the luckiest cookies you've ever tasted!,
TID_UPGRADE_DISPLAYNAME_PERFECT_IDLING,Perfect idling,完美的空转
TID_UPGRADE_DESC_PERFECT_IDLING,You keep producing cookies even while the game is closed.It's the most beautiful thing I've ever seen.,你继续生产饼干即使游戏关闭。这是我见过的最漂亮的事。
TID_UPGRADE_DISPLAYNAME_FIG_GLUTTONS,Fig gluttons,无花果暴饮暴食
TID_UPGRADE_DESC_FIG_GLUTTONS,Cookie production multiplier +25%.Got it all figured out.,
TID_UPGRADE_DISPLAYNAME_LOREOLS,Loreols,Loreols
TID_UPGRADE_DESC_LOREOLS,"Cookie production multiplier +25%.Because, uh... they're worth it?",
TID_UPGRADE_DISPLAYNAME__AFFA_CAKES,Jaffa cakes,佳发蛋糕
TID_UPGRADE_DESC__AFFA_CAKES,"Cookie production multiplier +25%.If you want to bake a cookie from scratch, you must first build a factory.",
TID_UPGRADE_DISPLAYNAME_GREASE_S_CUPS,Grease's cups,润滑脂的杯
TID_UPGRADE_DESC_GREASE_S_CUPS,Cookie production multiplier +25%.Extra-greasy peanut butter.,
TID_UPGRADE_DISPLAYNAME_HEAVENLY_CHIP_SECRET,Heavenly chip secret,天上的芯片的秘密
TID_UPGRADE_DESC_HEAVENLY_CHIP_SECRET,"Unlocks 5% of the potential of your heavenly chips.Grants the knowledge of heavenly chips, and how to use them to make baking more efficient.It's a secret to everyone.",
TID_UPGRADE_DISPLAYNAME_HEAVENLY_COOKIE_STAND,Heavenly cookie stand,天上的饼干站
TID_UPGRADE_DESC_HEAVENLY_COOKIE_STAND,Unlocks 25% of the potential of your heavenly chips.Don't forget to visit the heavenly lemonade stand afterwards.,
TID_UPGRADE_DISPLAYNAME_HEAVENLY_BAKERY,Heavenly bakery,天上的面包店
TID_UPGRADE_DESC_HEAVENLY_BAKERY,Unlocks 50% of the potential of your heavenly chips.Also sells godly cakes and divine pastries.,
TID_UPGRADE_DISPLAYNAME_HEAVENLY_CONFECTIONERY,Heavenly confectionery,天上的糖果
TID_UPGRADE_DESC_HEAVENLY_CONFECTIONERY,Unlocks 75% of the potential of your heavenly chips.They say angel bakers work there. They take angel lunch breaks and sometimes go on angel strikes.,
TID_UPGRADE_DISPLAYNAME_HEAVENLY_KEY,Heavenly key,天上的关键
TID_UPGRADE_DESC_HEAVENLY_KEY,"Unlocks 100% of the potential of your heavenly chips.This is the key to the pearly (and tasty) gates of pastry heaven, granting you access to your entire stockpile of heavenly chips.May you use them wisely.",
TID_UPGRADE_DISPLAYNAME_SKULL_COOKIES,Skull cookies,头骨饼干
TID_UPGRADE_DESC_SKULL_COOKIES,Cookie production multiplier +20%.Wanna know something spooky? You've got one of these inside your head RIGHT NOW.,
TID_UPGRADE_DISPLAYNAME_GHOST_COOKIES,Ghost cookies,鬼饼干
TID_UPGRADE_DESC_GHOST_COOKIES,"Cookie production multiplier +20%.They're something strange, but they look pretty good!",
TID_UPGRADE_DISPLAYNAME_BAT_COOKIES,Bat cookies,蝙蝠饼干
TID_UPGRADE_DESC_BAT_COOKIES,Cookie production multiplier +20%.The cookies this town deserves.,
TID_UPGRADE_DISPLAYNAME_SLIME_COOKIES,Slime cookies,泥饼
TID_UPGRADE_DESC_SLIME_COOKIES,Cookie production multiplier +20%.The incredible melting cookies!,
TID_UPGRADE_DISPLAYNAME_PUMPKIN_COOKIES,Pumpkin cookies,南瓜饼
TID_UPGRADE_DESC_PUMPKIN_COOKIES,Cookie production multiplier +20%.Not even pumpkin-flavored. Tastes like glazing. Yeugh.,
TID_UPGRADE_DISPLAYNAME_EYEBALL_COOKIES,Eyeball cookies,眼球饼干
TID_UPGRADE_DESC_EYEBALL_COOKIES,"Cookie production multiplier +20%.When you stare into the cookie, the cookie stares back at you.",
TID_UPGRADE_DISPLAYNAME_SPIDER_COOKIES,Spider cookies,蜘蛛饼干
TID_UPGRADE_DESC_SPIDER_COOKIES,Cookie production multiplier +20%.You found the recipe on the web. They do whatever a cookie can.,
TID_UPGRADE_DISPLAYNAME_PERSISTENT_MEMORY,Persistent memory,持久的记忆
TID_UPGRADE_DESC_PERSISTENT_MEMORY,Subsequent research will be 10 times as fast.It's all making sense!Again!,后续研究将10倍。又是所有意义! !
TID_UPGRADE_DISPLAYNAME_WRINKLER_DOORMAT,Wrinkler doormat,Wrinkler受气包
TID_UPGRADE_DESC_WRINKLER_DOORMAT,Wrinklers spawn much more frequently.You're such a pushover.,Wrinklers产生更频繁。你这样一个软弱的人。
TID_UPGRADE_DISPLAYNAME_CHRISTMAS_TREE_BISCUITS,Christmas tree biscuits,圣诞树饼干
TID_UPGRADE_DESC_CHRISTMAS_TREE_BISCUITS,Cookie production multiplier +20%.Whose pine is it anyway?,
TID_UPGRADE_DISPLAYNAME_SNOWFLAKE_BISCUITS,Snowflake biscuits,雪花饼干
TID_UPGRADE_DESC_SNOWFLAKE_BISCUITS,Cookie production multiplier +20%.Mass-produced to be unique in every way.,
TID_UPGRADE_DISPLAYNAME_SNOWMAN_BISCUITS,Snowman biscuits,雪人饼干
TID_UPGRADE_DESC_SNOWMAN_BISCUITS,Cookie production multiplier +20%.It's frosted. Doubly so.,
TID_UPGRADE_DISPLAYNAME_HOLLY_BISCUITS,Holly biscuits,冬青饼干
TID_UPGRADE_DESC_HOLLY_BISCUITS,"Cookie production multiplier +20%.You don't smooch under these ones. That would be the mistletoe (which, botanically, is a smellier variant of the mistlefinger).",
TID_UPGRADE_DISPLAYNAME_CANDY_CANE_BISCUITS,Candy cane biscuits,柺杖糖饼干
TID_UPGRADE_DESC_CANDY_CANE_BISCUITS,"Cookie production multiplier +20%.It's two treats in one!(Further inspection reveals the frosting does not actually taste like peppermint, but like mundane sugary frosting.)",
TID_UPGRADE_DISPLAYNAME_BELL_BISCUITS,Bell biscuits,贝尔饼干
TID_UPGRADE_DESC_BELL_BISCUITS,"Cookie production multiplier +20%.What do these even have to do with christmas? Who cares, ring them in!",
TID_UPGRADE_DISPLAYNAME_PRESENT_BISCUITS,Present biscuits,现在的饼干
TID_UPGRADE_DESC_PRESENT_BISCUITS,Cookie production multiplier +20%.The prequel to future biscuits. Watch out!,
TID_UPGRADE_DISPLAYNAME_GINGERBREAD_MEN,Gingerbread men,姜饼人
TID_UPGRADE_DESC_GINGERBREAD_MEN,"Cookie production multiplier +25%.You like to bite the legs off first, right? How about tearing off the arms? You sick monster.",
TID_UPGRADE_DISPLAYNAME_GINGERBREAD_TREES,Gingerbread trees,姜饼的树木
TID_UPGRADE_DESC_GINGERBREAD_TREES,Cookie production multiplier +25%.Evergreens in pastry form. Yule be surprised what you can come up with.,
TID_UPGRADE_DISPLAYNAME_A_FESTIVE_HAT,A festive hat,节日的帽子
TID_UPGRADE_DESC_A_FESTIVE_HAT,"Unlocks... something.Not a creature was stirring, not even a mouse.",打开……一些东西。不是一个生物是激动人心的
TID_UPGRADE_DISPLAYNAME_INCREASED_MERRINESS,Increased merriness,增加愉快
TID_UPGRADE_DESC_INCREASED_MERRINESS,"Cookie production multiplier +15%.It turns out that the key to increased merriness, strangely enough, happens to be a good campfire and some s'mores.You know what they say, after all; the s'more, the merrier.",
TID_UPGRADE_DISPLAYNAME_IMPROVED__OLLINESS,Improved jolliness,改进的愉快
TID_UPGRADE_DESC_IMPROVED__OLLINESS,Cookie production multiplier +15%.A nice wobbly belly goes a long way.You jolly?,
TID_UPGRADE_DISPLAYNAME_A_LUMP_OF_COAL,A lump of coal,一块煤炭
TID_UPGRADE_DESC_A_LUMP_OF_COAL,"Cookie production multiplier +1%.Some of the world's worst stocking stuffing.I guess you could try starting your own little industrial revolution, or something?...",
TID_UPGRADE_DISPLAYNAME_AN_ITCHY_SWEATER,An itchy sweater,发痒的毛衣
TID_UPGRADE_DESC_AN_ITCHY_SWEATER,"Cookie production multiplier +1%.You don't know what's worse : the embarrassingly quaint 'elf on reindeer' motif, or the fact that wearing it makes you feel like you're wrapped in a dead sasquatch.",
TID_UPGRADE_DISPLAYNAME_REINDEER_BAKING_GROUNDS,Reindeer baking grounds,驯鹿烘焙的理由
TID_UPGRADE_DESC_REINDEER_BAKING_GROUNDS,Reindeer appear twice as frequently.Male reindeer are from Mars; female reindeer are from venison.,驯鹿经常出现的两倍。男性驯鹿来自火星;女性驯鹿来自鹿肉。
TID_UPGRADE_DISPLAYNAME_WEIGHTED_SLEIGHS,Weighted sleighs,加权的雪橇
TID_UPGRADE_DESC_WEIGHTED_SLEIGHS,Reindeer are twice as slow.Hope it was worth the weight.(Something something forced into cervidude),驯鹿是缓慢的两倍。希望这是值得的。(被迫cervidude)
TID_UPGRADE_DISPLAYNAME_HO_HO_HO_FLAVORED_FROSTING,Ho ho ho-flavored frosting,Ho Ho ho-flavored结霜
TID_UPGRADE_DESC_HO_HO_HO_FLAVORED_FROSTING,Reindeer give twice as much.It's time to up the antler.,驯鹿的两倍。是时候鹿角。
TID_UPGRADE_DISPLAYNAME_SEASON_SAVINGS,Season savings,赛季储蓄
TID_UPGRADE_DESC_SEASON_SAVINGS,"All buildings are 1% cheaper.By Santa's beard, what savings!But who will save us?",
TID_UPGRADE_DISPLAYNAME_TOY_WORKSHOP,Toy workshop,玩具工厂
TID_UPGRADE_DESC_TOY_WORKSHOP,All upgrades are 5% cheaper.Watch yours-elf around elvesdroppers who might steal our production secrets.Or elven worse!,
TID_UPGRADE_DISPLAYNAME_NAUGHTY_LIST,Naughty list,淘气的列表
TID_UPGRADE_DESC_NAUGHTY_LIST,Grandmas are twice as productive.This list contains every unholy deed perpetuated by grandmakind.He won't be checking this one twice.Once. Once is enough.,奶奶正在生产的两倍。这个列表包含每个邪恶行为由grandmakind延续。他不会检查这个twice.Once。一次就足够了。
TID_UPGRADE_DISPLAYNAME_SANTA_S_BOTTOMLESS_BAG,Santa's bottomless bag,圣诞老人的无底袋
TID_UPGRADE_DESC_SANTA_S_BOTTOMLESS_BAG,Random drops are 10% more common.This is one bottom you can't check out.,
TID_UPGRADE_DISPLAYNAME_SANTA_S_HELPERS,Santa's helpers,圣诞老人的助手
TID_UPGRADE_DESC_SANTA_S_HELPERS,"Clicking is 10% more powerful.Some choose to help hamburger; some choose to help you.To each their own, I guess.",
TID_UPGRADE_DISPLAYNAME_SANTA_S_LEGACY,Santa's legacy,圣诞老人的遗产
TID_UPGRADE_DESC_SANTA_S_LEGACY,"Cookie production multiplier +10% per Santa's levels.In the north pole, you gotta get the elves first. Then when you get the elves, you start making the toys. Then when you get the toys... then you get the cookies.",
TID_UPGRADE_DISPLAYNAME_SANTA_S_MILK_AND_COOKIES,Santa's milk and cookies,圣诞老人的牛奶和饼干
TID_UPGRADE_DESC_SANTA_S_MILK_AND_COOKIES,Milk is 5% more powerful.Part of Santa's dreadfully unbalanced diet.,
TID_UPGRADE_DISPLAYNAME_REINDEER_SEASON,Reindeer season,驯鹿的季节
TID_UPGRADE_DESC_REINDEER_SEASON,"Reindeer spawn much more frequently.Go, Cheater! Go, Hacker and Faker!",驯鹿产卵frequently.Go得多
TID_UPGRADE_DISPLAYNAME_SANTA_S_DOMINION,Santa's dominion,圣诞老人的统治
TID_UPGRADE_DESC_SANTA_S_DOMINION,"Cookie production multiplier +50%.All buildings are 1% cheaper.All upgrades are 2% cheaper.My name is Claus, king of kings;Look on my toys, ye Mighty, and despair!",
TID_UPGRADE_DISPLAYNAME_PURE_HEART_BISCUITS,Pure heart biscuits,纯净的心灵饼干
TID_UPGRADE_DESC_PURE_HEART_BISCUITS,Cookie production multiplier +25%.Melty white chocolatethat says 'I *like* like you'.,
TID_UPGRADE_DISPLAYNAME_ARDENT_HEART_BISCUITS,Ardent heart biscuits,狂热的心饼干
TID_UPGRADE_DESC_ARDENT_HEART_BISCUITS,Cookie production multiplier +25%.A red hot cherry biscuit that will nudge the target of your affection in interesting directions.,
TID_UPGRADE_DISPLAYNAME_SOUR_HEART_BISCUITS,Sour heart biscuits,酸的心饼干
TID_UPGRADE_DESC_SOUR_HEART_BISCUITS,Cookie production multiplier +25%.A bitter lime biscuit for the lonely and the heart-broken.,
TID_UPGRADE_DISPLAYNAME_WEEPING_HEART_BISCUITS,Weeping heart biscuits,哭泣的心饼干
TID_UPGRADE_DESC_WEEPING_HEART_BISCUITS,"Cookie production multiplier +25%.An ice-cold blueberry biscuit, symbol of a mending heart.",
TID_UPGRADE_DISPLAYNAME_GOLDEN_HEART_BISCUITS,Golden heart biscuits,金色的心饼干
TID_UPGRADE_DESC_GOLDEN_HEART_BISCUITS,"Cookie production multiplier +25%.A beautiful biscuit to symbolize kindness, true love, and sincerity.",
TID_UPGRADE_DISPLAYNAME_ETERNAL_HEART_BISCUITS,Eternal heart biscuits,永恒的心饼干
TID_UPGRADE_DESC_ETERNAL_HEART_BISCUITS,"Cookie production multiplier +25%.Silver icing for a very special someone you've liked for a long, long time.",
TID_UPGRADE_DISPLAYNAME_GEM_POLISH,Gem polish,宝石波兰
TID_UPGRADE_DESC_GEM_POLISH,"Prisms gain +1,000,000 base CpS.Get rid of the grime and let more light in.Truly, truly outrageous.",棱镜获得1
TID_UPGRADE_DISPLAYNAME_9TH_COLOR,9th color,9号颜色
TID_UPGRADE_DESC_9TH_COLOR,Prisms are twice as efficient.Delve into untouched optical depths where even the mantis shrimp hasn't set an eye!,棱镜是两倍效率。深入研究不变光学深度，甚至螳螂虾没有设置!
TID_UPGRADE_DISPLAYNAME_CHOCOLATE_LIGHT,Chocolate light,巧克力的光
TID_UPGRADE_DESC_CHOCOLATE_LIGHT,Prisms are twice as efficient.Bask into its cocoalescence.(Warning : may cause various interesting albeit deadly skin conditions.),棱镜是两倍效率。晒cocoalescence。(警告:可能会引起各种有趣但致命的皮肤状况。)
TID_UPGRADE_DISPLAYNAME_GRAINBOW,Grainbow,Grainbow
TID_UPGRADE_DESC_GRAINBOW,"Prisms are twice as efficient.Remember the different grains using the handy Roy G. Biv mnemonic : R is for rice, O is for oats... uh, B for barley?...",棱镜是两倍效率。记住不同的谷物使用方便Roy g . Biv助记:R是大米
TID_UPGRADE_DISPLAYNAME_PURE_COSMIC_LIGHT,Pure cosmic light,纯粹的宇宙光
TID_UPGRADE_DESC_PURE_COSMIC_LIGHT,"Prisms are twice as efficient.Your prisms now receive pristine, unadulterated photons from the other end of the universe.",棱镜是两倍效率。你现在的棱镜得到原始
TID_UPGRADE_DISPLAYNAME_RAINBOW_GRANDMAS,Rainbow grandmas,彩虹奶奶
TID_UPGRADE_DESC_RAINBOW_GRANDMAS,Grandmas are twice as efficient.A luminous grandma to sparkle into cookies.,奶奶是两倍效率。一个发光的奶奶闪耀成饼干。
TID_UPGRADE_DISPLAYNAME_SEASON_SWITCHER,Season switcher,季节转换开关
TID_UPGRADE_DESC_SEASON_SWITCHER,"Allows you to trigger seasonal events at will, for a price.There will always be time.",允许你触发季节性事件
TID_UPGRADE_DISPLAYNAME_FESTIVE_BISCUIT,Festive biscuit,节日饼干
TID_UPGRADE_DESC_FESTIVE_BISCUIT,Triggers Christmas season for the next 24 hours.Triggering another season will cancel this one.'Twas the night before Christmas- or was it?,触发圣诞节在接下来的24小时。触发一个赛季将取消这一个。是平安夜，还是?
TID_UPGRADE_DISPLAYNAME_GHOSTLY_BISCUIT,Ghostly biscuit,可怕的饼干
TID_UPGRADE_DESC_GHOSTLY_BISCUIT,Triggers Halloween season for the next 24 hours.Triggering another season will cancel this one.spooky scary skeletonswill wake you with a boo,触发万圣节赛季接下来的24小时。触发一个赛季将取消这一个。令人毛骨悚然的恐怖skeletonswill boo叫醒你
TID_UPGRADE_DISPLAYNAME_LOVESICK_BISCUIT,Lovesick biscuit,为情所困的饼干
TID_UPGRADE_DESC_LOVESICK_BISCUIT,Triggers Valentine's Day season for the next 24 hours.Triggering another season will cancel this one.Romance never goes out of fashion.,触发情人节季在接下来的24小时。触发一个赛季将取消这一个。爱情永远是一种时尚。
TID_ACH_DISPLAYNAME_WAKE_AND_BAKE,Wake and bake,之后，烤
TID_ACH_DESC_WAKE_AND_BAKE,Bake 1 cookie.,烘烤饼干。
TID_ACH_DISPLAYNAME_MAKING_SOME_DOUGH,Making some dough,做一些面团
TID_ACH_DESC_MAKING_SOME_DOUGH,Bake 100 cookies.,100烤曲奇。
TID_ACH_DISPLAYNAME_SO_BAKED_RIGHT_NOW,So baked right now,所以现在烤
TID_ACH_DESC_SO_BAKED_RIGHT_NOW,"Bake 1,000 cookies.",烤1
TID_ACH_DISPLAYNAME_FLEDGLING_BAKERY,Fledgling bakery,羽翼未丰的面包店
TID_ACH_DESC_FLEDGLING_BAKERY,"Bake 10,000 cookies.",烘烤10
TID_ACH_DISPLAYNAME_AFFLUENT_BAKERY,Affluent bakery,富裕的面包店
TID_ACH_DESC_AFFLUENT_BAKERY,"Bake 100,000 cookies.",烤100
TID_ACH_DISPLAYNAME_WORLD_FAMOUS_BAKERY,World-famous bakery,举世闻名的面包店
TID_ACH_DESC_WORLD_FAMOUS_BAKERY,"Bake 1,000,000 cookies.",
TID_ACH_DISPLAYNAME_COSMIC_BAKERY,Cosmic bakery,宇宙的面包店
TID_ACH_DESC_COSMIC_BAKERY,"Bake 10,000,000 cookies.",
TID_ACH_DISPLAYNAME_GALACTIC_BAKERY,Galactic bakery,银河面包店
TID_ACH_DESC_GALACTIC_BAKERY,"Bake 100,000,000 cookies.",
TID_ACH_DISPLAYNAME_UNIVERSAL_BAKERY,Universal bakery,普遍的面包店
TID_ACH_DESC_UNIVERSAL_BAKERY,"Bake 1,000,000,000 cookies.",
TID_ACH_DISPLAYNAME_TIMELESS_BAKERY,Timeless bakery,永恒的面包店
TID_ACH_DESC_TIMELESS_BAKERY,"Bake 10,000,000,000 cookies.",
TID_ACH_DISPLAYNAME_INFINITE_BAKERY,Infinite bakery,无限的面包店
TID_ACH_DESC_INFINITE_BAKERY,"Bake 100,000,000,000 cookies.",
TID_ACH_DISPLAYNAME_IMMORTAL_BAKERY,Immortal bakery,不朽的面包店
TID_ACH_DESC_IMMORTAL_BAKERY,"Bake 1,000,000,000,000 cookies.",
TID_ACH_DISPLAYNAME_YOU_CAN_STOP_NOW,You can stop now,你现在可以停止
TID_ACH_DESC_YOU_CAN_STOP_NOW,"Bake 10,000,000,000,000 cookies.",
TID_ACH_DISPLAYNAME_COOKIES_ALL_THE_WAY_DOWN,Cookies all the way down,饼干的
TID_ACH_DESC_COOKIES_ALL_THE_WAY_DOWN,"Bake 100,000,000,000,000 cookies.",
TID_ACH_DISPLAYNAME_OVERDOSE,Overdose,过量
TID_ACH_DESC_OVERDOSE,"Bake 1,000,000,000,000,000 cookies.",
TID_ACH_DISPLAYNAME_HOW,How?,如何?
TID_ACH_DESC_HOW,"Bake 10,000,000,000,000,000 cookies.",
TID_ACH_DISPLAYNAME_CASUAL_BAKING,Casual baking,随意的烘焙
TID_ACH_DESC_CASUAL_BAKING,Bake 1 cookie per second.,每秒1饼干烤。
TID_ACH_DISPLAYNAME_HARDCORE_BAKING,Hardcore baking,铁杆烘焙
TID_ACH_DESC_HARDCORE_BAKING,Bake 10 cookies per second.,烘烤10饼干每秒。
TID_ACH_DISPLAYNAME_STEADY_TASTY_STREAM,Steady tasty stream,稳定的美味的流
TID_ACH_DESC_STEADY_TASTY_STREAM,Bake 100 cookies per second.,烘烤饼干100每秒。
TID_ACH_DISPLAYNAME_COOKIE_MONSTER,Cookie monster,饼干怪兽
TID_ACH_DESC_COOKIE_MONSTER,"Bake 1,000 cookies per second.",
TID_ACH_DISPLAYNAME_MASS_PRODUCER,Mass producer,量产车
TID_ACH_DESC_MASS_PRODUCER,"Bake 10,000 cookies per second.",
TID_ACH_DISPLAYNAME_COOKIE_VORTEX,Cookie vortex,饼干涡
TID_ACH_DESC_COOKIE_VORTEX,"Bake 1,000,000 cookies per second.",
TID_ACH_DISPLAYNAME_COOKIE_PULSAR,Cookie pulsar,饼干脉冲星
TID_ACH_DESC_COOKIE_PULSAR,"Bake 10,000,000 cookies per second.",
TID_ACH_DISPLAYNAME_COOKIE_QUASAR,Cookie quasar,饼干类星体
TID_ACH_DESC_COOKIE_QUASAR,"Bake 100,000,000 cookies per second.",
TID_ACH_DISPLAYNAME_A_WORLD_FILLED_WITH_COOKIES,A world filled with cookies,世界充满了饼干
TID_ACH_DESC_A_WORLD_FILLED_WITH_COOKIES,"Bake 10,000,000,000 cookies per second.",
TID_ACH_DISPLAYNAME_LET_S_NEVER_BAKE_AGAIN,Let's never bake again,让我们永不再烤
TID_ACH_DESC_LET_S_NEVER_BAKE_AGAIN,"Bake 1,000,000,000,000 cookies per second.",
TID_ACH_DISPLAYNAME_SACRIFICE,Sacrifice,牺牲
TID_ACH_DESC_SACRIFICE,"Reset your game with 1 million cookies baked.Easy come, easy go.",重置你的游戏有100万饼干烤。来得
TID_ACH_DISPLAYNAME_OBLIVION,Oblivion,遗忘
TID_ACH_DESC_OBLIVION,Reset your game with 1 billion cookies baked.Back to square one.,重置你的游戏有10亿饼干烤。从头再来。
TID_ACH_DISPLAYNAME_FROM_SCRATCH,From scratch,从头开始
TID_ACH_DESC_FROM_SCRATCH,Reset your game with 1 trillion cookies baked.It's been fun.,重置你的游戏有1万亿饼干烤。这是有趣的。
TID_ACH_DISPLAYNAME_NEVERCLICK,Neverclick,Neverclick
TID_ACH_DESC_NEVERCLICK,Make 1 million cookies by only having clicked 15 times.,使100万年饼干只有15次点击。
TID_ACH_DISPLAYNAME_CLICKTASTIC,Clicktastic,Clicktastic
TID_ACH_DESC_CLICKTASTIC,"Make 1,000 cookies from clicking.",使1
TID_ACH_DISPLAYNAME_CLICKATHLON,Clickathlon,Clickathlon
TID_ACH_DESC_CLICKATHLON,"Make 100,000 cookies from clicking.",使100年
